Date,Service_Name,Service_Type,CPU_Usage,Memory_Usage,Storage_Usage,Network_Usage,Status
2026-07-13,Cloud Service 13,Database,66,28,24,36,Active
2026-07-14,Cloud Service 14,Backup,68,44,47,54,Active
2026-07-15,Cloud Service 15,Networking,66,85,30,24,Active
2026-07-16,Cloud Service 1,Compute,82,84,76,71,Maintenance
2026-07-17,Cloud Service 2,Storage,59,35,33,23,Active
2026-07-18,Cloud Service 3,Database,63,58,76,30,Active
2026-07-19,Cloud Service 4,Backup,86,27,41,77,Active
2026-07-20,Cloud Service 5,Networking,66,43,84,13,Active
2026-07-21,Cloud Service 6,Compute,87,63,26,43,Active
2026-07-22,Cloud Service 7,Storage,86,71,36,55,Active
2026-07-23,Cloud Service 8,Database,48,89,57,38,Active
2026-07-24,Cloud Service 9,Backup,44,55,66,39,Active
2026-07-25,Cloud Service 10,Networking,45,91,78,55,Maintenance
2026-07-26,Cloud Service 11,Compute,23,28,50,70,Active
2026-07-27,Cloud Service 12,Storage,53,49,59,67,Active
2026-07-28,Cloud Service 13,Database,64,71,25,38,Active
2026-07-29,Cloud Service 14,Backup,33,54,75,35,Active
2026-07-30,Cloud Service 15,Networking,63,51,76,88,Active
2026-07-31,Cloud Service 1,Compute,20,86,59,20,Active
2026-08-01,Cloud Service 2,Storage,35,74,40,71,Active
2026-08-02,Cloud Service 3,Database,42,80,57,21,Active
2026-08-03,Cloud Service 4,Backup,70,84,66,20,Maintenance
2026-08-04,Cloud Service 5,Networking,40,46,31,13,Active
2026-08-05,Cloud Service 6,Compute,39,84,33,88,Active
2026-08-06,Cloud Service 7,Storage,80,69,34,80,Active
2026-08-07,Cloud Service 8,Database,90,41,17,11,Active
2026-08-08,Cloud Service 9,Backup,33,92,32,65,Active
2026-08-09,Cloud Service 10,Networking,44,52,18,42,Active
2026-08-10,Cloud Service 11,Compute,47,62,79,40,Active
2026-08-11,Cloud Service 12,Storage,95,66,48,79,Active
2026-08-12,Cloud Service 13,Database,73,41,22,55,Maintenance
2026-08-13,Cloud Service 14,Backup,78,91,68,74,Active
2026-08-14,Cloud Service 15,Networking,36,44,82,75,Active
2026-08-15,Cloud Service 1,Compute,22,81,38,87,Active
2026-08-16,Cloud Service 2,Storage,20,44,37,28,Active
2026-08-17,Cloud Service 3,Database,80,40,86,17,Active
2026-08-18,Cloud Service 4,Backup,61,91,82,81,Active
2026-08-19,Cloud Service 5,Networking,81,38,86,17,Active
2026-08-20,Cloud Service 6,Compute,51,49,50,15,Active
2026-08-21,Cloud Service 7,Storage,32,89,72,81,Maintenance
2026-08-22,Cloud Service 8,Database,23,33,71,51,Active
2026-08-23,Cloud Service 9,Backup,84,90,40,45,Active
2026-08-24,Cloud Service 10,Networking,77,90,83,71,Active
2026-08-25,Cloud Service 11,Compute,84,56,81,43,Active
2026-08-26,Cloud Service 12,Storage,91,50,72,27,Active
2026-08-27,Cloud Service 13,Database,73,40,65,66,Active
2026-08-28,Cloud Service 14,Backup,60,34,45,64,Active
2026-08-29,Cloud Service 15,Networking,29,52,53,25,Active
2026-08-30,Cloud Service 1,Compute,39,71,33,42,Maintenance
2026-08-31,Cloud Service 2,Storage,37,84,43,22,Active
2026-09-01,Cloud Service 3,Database,70,87,35,38,Active
2026-09-02,Cloud Service 4,Backup,40,80,80,61,Active
2026-09-03,Cloud Service 5,Networking,63,78,40,55,Active
2026-09-04,Cloud Service 6,Compute,60,36,61,12,Active
2026-09-05,Cloud Service 7,Storage,63,83,71,12,Active
2026-09-06,Cloud Service 8,Database,69,67,81,47,Active
2026-09-07,Cloud Service 9,Backup,85,33,29,39,Active
2026-09-08,Cloud Service 10,Networking,33,35,48,44,Maintenance
